task_name,task_kind,n_pairs,n_eval,target_layer,split_half_cos_mean,split_half_cos_std,per_pair_variance,baseline_metric,steered_metric,random_metric_mean,random_metric_std,delta_vs_baseline,delta_vs_random,seconds,geometric_signature,effect_signature,rule_predicts_steers
context_faithfulness,borderline,200,100,7,0.999982625246048,3.415689401203936e-06,0.0010042786598205566,0.88,0.505,0.883,0.006782329983125274,-0.375,-0.378,1307.7669031620026,low_var_collapsed,steers,no
fact_override,content_specific,200,100,7,0.12181813090573997,0.6438305290898748,0.9212585091590881,0.24,0.5,0.242,0.0040000000000000036,0.26,0.258,1362.8679752349854,unstable_mean,steers,no
hallucination_grounding,borderline,200,100,7,0.9950940728187561,0.006050204685463215,0.4332873821258545,0.07,0.0,0.07,0.00632455532033676,-0.07,-0.07,1503.7852110862732,live,steers,yes
honesty,behavioral,200,100,7,0.9991922110319138,0.00017286855376442487,0.038551270961761475,0.5,0.49,0.5,0.0,-0.010000000000000009,-0.010000000000000009,1527.364462852478,low_var_collapsed,no_effect,no
persona,borderline,200,100,7,0.9999377816915512,1.693356602517227e-05,0.0038329362869262695,0.64,0.01,0.6380000000000001,0.00979795897113272,-0.63,-0.6280000000000001,1528.0371420383453,low_var_collapsed,steers,no
politeness,borderline,200,100,7,0.9995523035526276,0.00021301103707486015,0.028221845626831055,0.47,0.5,0.457,0.014696938456699058,0.030000000000000027,0.04299999999999998,1517.0494379997253,low_var_collapsed,random_explains_it,no
rag_distractor,content_specific,200,100,7,0.9878029644489288,0.00825558026928963,0.7465552091598511,0.58,0.01,0.572,0.026381811916545816,-0.57,-0.5619999999999999,2317.6000249385834,live,steers,yes
refusal,behavioral,200,100,7,0.9984219193458557,0.0007991881192837119,0.6257414221763611,0.65,0.0,0.622,0.011661903789690611,-0.65,-0.622,1426.5594239234924,live,steers,yes
sentiment,behavioral,200,100,7,0.7522645346820355,0.2915676481759109,0.8231996893882751,0.56,0.125,0.5840000000000001,0.047999999999999994,-0.43500000000000005,-0.4590000000000001,1617.3732857704163,live,steers,yes
sycophancy,behavioral,200,100,7,0.9997452646493912,0.00023188840448296055,0.01586395502090454,0.47,0.455,0.43099999999999994,0.05141984052872975,-0.014999999999999958,0.024000000000000077,778.2353839874268,low_var_collapsed,no_effect,no
topic_suppression,content_specific,75,25,7,0.9999272525310516,2.8174318659829997e-05,0.0013902783393859863,0.0,0.0,0.0,0.0,0.0,0.0,372.663711309433,low_var_collapsed,no_effect,no
truthfulness,behavioral,200,100,7,0.5762454364448786,0.37433864651144516,0.8920629620552063,0.545,0.5,0.543,0.0040000000000000036,-0.04500000000000004,-0.04300000000000004,1502.9342846870422,low_var_collapsed,random_explains_it,no
