task_name,task_kind,n_pairs,n_eval,target_layer,split_half_cos_mean,split_half_cos_std,per_pair_variance,baseline_metric,steered_metric,random_metric_mean,random_metric_std,delta_vs_baseline,delta_vs_random,seconds,geometric_signature,effect_signature,rule_predicts_steers
context_faithfulness,borderline,200,100,4,0.9999951899051667,1.2339889018425907e-06,0.00027757883071899414,0.76,0.545,0.7619999999999999,0.01029563014098701,-0.21499999999999997,-0.21699999999999986,1027.4631297588348,low_var_collapsed,steers,no
fact_override,content_specific,200,100,4,0.029266939777880908,0.8139600168048088,0.956091184169054,0.36,0.5,0.35500000000000004,0.01760681686165901,0.14,0.14499999999999996,1156.7904779911041,unstable_mean,steers,no
hallucination_grounding,borderline,200,100,4,0.9984673142433167,0.002017681116201165,0.44478416442871094,0.01,0.0,0.006,0.004898979485566357,-0.01,-0.006,1425.2052762508392,live,no_effect,yes
honesty,behavioral,200,100,4,0.9994246244430542,0.00012845546552521056,0.02827596664428711,0.56,0.61,0.5599999999999999,0.020976176963402995,0.04999999999999993,0.050000000000000044,1275.0313127040863,low_var_collapsed,random_explains_it,no
persona,borderline,200,100,4,0.9999839156866074,4.858647858178649e-06,0.0009816884994506836,0.63,0.03,0.6140000000000001,0.024166091947189165,-0.6,-0.5840000000000001,1450.2372868061066,low_var_collapsed,steers,no
politeness,borderline,200,100,4,0.9998846709728241,5.9063462979977395e-05,0.008112430572509766,0.47,0.515,0.465,0.006324555320336738,0.04500000000000004,0.04999999999999999,1424.6658580303192,low_var_collapsed,random_explains_it,no
rag_distractor,content_specific,200,100,4,0.9970298111438751,0.0020301862984896026,0.7437672019004822,0.05,0.05,0.034,0.008,0.0,0.016,750.2450079917908,live,no_effect,yes
refusal,behavioral,200,100,4,0.9995871990919113,0.0002154885926047138,0.6285990178585052,0.41,0.0,0.43600000000000005,0.018547236990991426,-0.41,-0.43600000000000005,1253.6661291122437,live,steers,yes
sentiment,behavioral,200,100,4,0.729774983972311,0.4461332338133731,0.8731658756732941,0.75,0.5,0.687,0.05591064299397745,-0.25,-0.18700000000000006,1483.603423833847,live,steers,yes
sycophancy,behavioral,200,100,4,0.999717628955841,0.00028893210083407096,0.01770859956741333,0.0,0.0,0.0,0.0,0.0,0.0,1616.2779188156128,low_var_collapsed,no_effect,no
topic_suppression,content_specific,75,25,4,0.9999872654676437,4.768270066790023e-06,0.00023114681243896484,0.0,0.0,0.0,0.0,0.0,0.0,373.15363812446594,low_var_collapsed,no_effect,no
truthfulness,behavioral,200,100,4,0.5614365398883819,0.5205859692065958,0.9181702062487602,0.515,0.5,0.518,0.008124038404635967,-0.015000000000000013,-0.018000000000000016,1420.7110240459442,low_var_collapsed,no_effect,no
