task_name,task_kind,n_pairs,n_eval,target_layer,split_half_cos_mean,split_half_cos_std,per_pair_variance,baseline_metric,steered_metric,random_metric_mean,random_metric_std,delta_vs_baseline,delta_vs_random,seconds,geometric_signature,effect_signature,rule_predicts_steers
context_faithfulness,borderline,200,100,9,0.9999700576066971,7.88522988473066e-06,0.001664280891418457,0.87,0.535,0.8800000000000001,0.003162277660168382,-0.33499999999999996,-0.3450000000000001,1890.225921869278,low_var_collapsed,steers,no
fact_override,content_specific,200,100,9,0.1303535894025117,0.5656679198996849,0.9263812825083733,0.32,0.5,0.309,0.015620499351813302,0.18,0.191,1433.2497689723969,unstable_mean,steers,no
hallucination_grounding,borderline,200,100,9,0.9935894817113876,0.007848673804188539,0.4351394772529602,0.01,0.0,0.016,0.008,-0.01,-0.016,1502.009922027588,live,no_effect,yes
honesty,behavioral,200,100,9,0.9996466606855392,7.632276308129594e-05,0.018237173557281494,0.1,0.05,0.11199999999999999,0.009797958971132708,-0.05,-0.061999999999999986,1518.1015419960022,low_var_collapsed,steers,no
persona,borderline,200,100,9,0.999897912144661,2.9380857246723517e-05,0.006615877151489258,0.31,0.01,0.29000000000000004,0.012649110640673502,-0.3,-0.28,1476.7796232700348,low_var_collapsed,steers,no
politeness,borderline,200,100,9,0.99947110414505,0.00031590911652851846,0.03183090686798096,0.455,0.585,0.457,0.009273618495495713,0.12999999999999995,0.12799999999999995,1432.2392129898071,low_var_collapsed,steers,no
rag_distractor,content_specific,200,100,9,0.9802517890930176,0.01764946779442585,0.780387818813324,0.44,0.09,0.4539999999999999,0.02870540018881465,-0.35,-0.3639999999999999,1895.9518659114838,live,steers,yes
refusal,behavioral,200,100,9,0.9975586950778961,0.0011262789431391793,0.6564116775989532,0.91,0.0,0.8939999999999999,0.014966629547095779,-0.91,-0.8939999999999999,1492.9704940319061,live,steers,yes
sentiment,behavioral,200,100,9,0.7490171868354082,0.3315770060281092,0.8622470647096634,0.625,0.5,0.625,0.037947331922020586,-0.125,-0.125,1589.1934399604797,live,steers,yes
sycophancy,behavioral,200,100,9,0.9998002380132676,0.00021695388324324588,0.012592315673828125,0.0,0.0,0.0,0.0,0.0,0.0,1715.5910849571228,low_var_collapsed,no_effect,no
topic_suppression,content_specific,75,25,9,0.9999392926692963,2.243062642745039e-05,0.0011417865753173828,0.04,0.0,0.04,0.0,-0.04,-0.04,374.73995089530945,low_var_collapsed,random_explains_it,no
truthfulness,behavioral,200,100,9,0.5536164339631796,0.38675079264373957,0.8968003839254379,0.52,0.5,0.522,0.0024494897427831805,-0.020000000000000018,-0.02200000000000002,1499.6813039779663,low_var_collapsed,no_effect,no
