task_name,task_kind,n_pairs,n_eval,target_layer,split_half_cos_mean,split_half_cos_std,per_pair_variance,baseline_metric,steered_metric,random_metric_mean,random_metric_std,delta_vs_baseline,delta_vs_random,seconds,geometric_signature,effect_signature,rule_predicts_steers
context_faithfulness,borderline,200,100,7,0.9999980419874192,4.5208266518104386e-07,0.00011092424392700195,0.9,0.78,0.901,0.00489897948556636,-0.12,-0.121,3648.890000104904,low_var_collapsed,steers,no
fact_override,content_specific,200,100,7,0.13614390827715397,0.8544290079856581,0.9463987648487091,0.315,0.47,0.32700000000000007,0.008124038404635967,0.15499999999999997,0.1429999999999999,2895.129213809967,unstable_mean,steers,no
hallucination_grounding,borderline,200,100,7,0.9993244975805282,0.0009852694162321555,0.456473171710968,0.02,0.0,0.022000000000000002,0.003999999999999998,-0.02,-0.022000000000000002,2896.36985707283,live,no_effect,yes
honesty,behavioral,200,100,7,0.9997249275445939,5.18166028803999e-05,0.013614296913146973,0.47,0.47,0.4699999999999999,0.01264911064067351,0.0,5.551115123125783e-17,2952.2009677886963,low_var_collapsed,no_effect,no
persona,borderline,200,100,7,0.9999928712844849,2.072271008365778e-06,0.0004425048828125,0.37,0.04,0.36,0.010954451150103312,-0.33,-0.32,2848.3663086891174,low_var_collapsed,steers,no
politeness,borderline,200,100,7,0.9999492943286896,2.6719261125566346e-05,0.00371628999710083,0.455,0.655,0.442,0.006782329983125274,0.2,0.21300000000000002,2792.1603620052338,low_var_collapsed,steers,no
rag_distractor,content_specific,200,100,7,0.9985036075115203,0.0011596775435796546,0.7665734142065048,0.63,0.29,0.6319999999999999,0.0040000000000000036,-0.34,-0.3419999999999999,3061.0746941566467,live,steers,yes
refusal,behavioral,200,100,7,0.999682468175888,0.00010987106576379212,0.650015115737915,0.94,0.0,0.944,0.00489897948556636,-0.94,-0.944,2930.484174013138,live,steers,yes
sentiment,behavioral,200,100,7,0.7671417355537414,0.5053685133657109,0.8845069333910942,0.685,0.44,0.686,0.09619771307052992,-0.24500000000000005,-0.24600000000000005,3214.372757911682,live,steers,yes
sycophancy,behavioral,200,100,7,0.9998458892107009,0.00014804623035946234,0.009567201137542725,0.0,0.0,0.0,0.0,0.0,0.0,3342.2378113269806,low_var_collapsed,no_effect,no
topic_suppression,content_specific,75,25,7,0.9999947875738144,1.9941718016713464e-06,9.78708267211914e-05,0.84,0.0,0.8400000000000001,1.1102230246251565e-16,-0.84,-0.8400000000000001,754.6839799880981,low_var_collapsed,steers,no
truthfulness,behavioral,200,100,7,0.5904531590640545,0.6495113761375614,0.9274158105254173,0.535,0.5,0.531,0.0037416573867739447,-0.03500000000000003,-0.031000000000000028,2869.8940098285675,low_var_collapsed,random_explains_it,no
